1600.0 1.0 1.0 1.0 1.546 0.559 0.361 0.614 1.452 0.01 1.88 0.01 1.253 0.01 0.01 0.01
1600.1 1.0 1.0 1.0 1.547 0.559 0.361 0.614 1.452 0.01 1.88 0.01 1.253 0.011 0.009 0.009
1600.2 1.0 1.0 1.0 1.548 0.559 0.361 0.614 1.452 0.01 1.88 0.01 1.253 0.012 0.009 0.009
1600.3 1.0 1.0 1.0 1.548 0.559 0.361 0.614 1.452 0.01 1.88 0.01 1.253 0.012 0.009 0.009
1600.4 1.0 1.0 1.0 1.549 0.559 0.361 0.614 1.452 0.01 1.88 0.01 1.253 0.013 0.008 0.008
1600.5 1.0 1.0 1.0 1.549 0.559 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.013 0.008 0.008
1600.6 1.0 1.0 1.0 1.55 0.559 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.014 0.008 0.008
1600.7 1.0 1.0 1.0 1.55 0.559 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.014 0.008 0.008
1600.8 1.0 1.0 1.0 1.551 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.015 0.007 0.008
1600.9 1.0 1.0 1.0 1.551 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.015 0.007 0.007
1601.0 1.0 1.0 1.0 1.551 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.016 0.007 0.007
1601.1 1.0 1.0 1.0 1.552 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.016 0.007 0.007
1601.2 1.0 1.0 1.0 1.552 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.016 0.006 0.007
1601.3 1.0 1.0 1.0 1.552 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.017 0.006 0.007
1601.4 1.0 1.0 1.0 1.552 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.017 0.006 0.007
1601.5 1.0 1.0 1.0 1.553 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.017 0.006 0.006
1601.6 1.0 1.0 1.0 1.553 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.017 0.006 0.006
1601.7 1.0 1.0 1.0 1.553 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.018 0.006 0.006
1601.8 1.0 1.0 1.0 1.553 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.018 0.006 0.006
1601.9 1.0 1.0 1.0 1.553 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.018 0.006 0.006
1602.0 1.0 1.0 1.0 1.554 0.56 0.362 0.614 1.452 0.01 1.88 0.01 1.253 0.018 0.005 0.006
