100.0 1.0 1.0 1.0 0.015 0.01 0.005
100.1 1.0 1.0 1.0 0.017 0.01 0.004
100.2 1.0 1.0 1.0 0.017 0.01 0.003
100.3 1.0 1.0 1.0 0.018 0.01 0.003
100.4 1.0 1.0 1.0 0.018 0.01 0.003
100.5 1.0 1.0 1.0 0.018 0.01 0.003
100.6 1.0 1.0 1.0 0.018 0.01 0.003
100.7 1.0 1.0 1.0 0.018 0.01 0.003
100.8 1.0 1.0 1.0 0.018 0.01 0.003
100.9 1.0 1.0 1.0 0.018 0.01 0.003
101.0 1.0 1.0 1.0 0.018 0.01 0.003
101.1 1.0 1.0 1.0 0.018 0.01 0.003
101.2 1.0 1.0 1.0 0.018 0.01 0.003
101.3 1.0 1.0 1.0 0.018 0.01 0.003
101.4 1.0 1.0 1.0 0.018 0.01 0.003
101.5 1.0 1.0 1.0 0.018 0.01 0.003
101.6 1.0 1.0 1.0 0.018 0.01 0.003
101.7 1.0 1.0 1.0 0.018 0.01 0.003
101.8 1.0 1.0 1.0 0.018 0.01 0.003
101.9 1.0 1.0 1.0 0.018 0.01 0.003
102.0 1.0 1.0 1.0 0.018 0.01 0.003
102.1 1.0 1.0 1.0 0.018 0.01 0.003
102.2 1.0 1.0 1.0 0.018 0.01 0.003
102.3 1.0 1.0 1.0 0.018 0.01 0.003
102.4 1.0 1.0 1.0 0.018 0.01 0.003
102.5 1.0 1.0 1.0 0.018 0.01 0.003
102.6 1.0 1.0 1.0 0.018 0.01 0.003
102.7 1.0 1.0 1.0 0.018 0.01 0.003
102.8 1.0 1.0 1.0 0.018 0.01 0.003
102.9 1.0 1.0 1.0 0.018 0.01 0.003
103.0 1.0 1.0 1.0 0.018 0.01 0.003
103.1 1.0 1.0 1.0 0.018 0.01 0.003
103.2 1.0 1.0 1.0 0.018 0.01 0.003
103.3 1.0 1.0 1.0 0.018 0.01 0.003
103.4 1.0 1.0 1.0 0.018 0.01 0.003
103.5 1.0 1.0 1.0 0.018 0.01 0.003
103.6 1.0 1.0 1.0 0.018 0.01 0.003
103.7 1.0 1.0 1.0 0.018 0.01 0.003
103.8 1.0 1.0 1.0 0.018 0.01 0.003
103.9 1.0 1.0 1.0 0.018 0.01 0.003
104.0 1.0 1.0 1.0 0.018 0.01 0.003
104.1 1.0 1.0 1.0 0.018 0.01 0.003
104.2 1.0 1.0 1.0 0.018 0.01 0.003
104.3 1.0 1.0 1.0 0.018 0.01 0.003
104.4 1.0 1.0 1.0 0.018 0.01 0.003
104.5 1.0 1.0 1.0 0.018 0.01 0.003
104.6 1.0 1.0 1.0 0.018 0.01 0.003
104.7 1.0 1.0 1.0 0.018 0.01 0.003
104.8 1.0 1.0 1.0 0.018 0.01 0.003
104.9 1.0 1.0 1.0 0.018 0.01 0.003
105.0 1.0 1.0 1.0 0.018 0.01 0.003
105.1 1.0 1.0 1.0 0.018 0.01 0.003
105.2 1.0 1.0 1.0 0.018 0.01 0.003
105.3 1.0 1.0 1.0 0.018 0.01 0.003
105.4 1.0 1.0 1.0 0.018 0.01 0.003
105.5 1.0 1.0 1.0 0.018 0.01 0.003
105.6 1.0 1.0 1.0 0.018 0.01 0.003
105.7 1.0 1.0 1.0 0.018 0.01 0.003
105.8 1.0 1.0 1.0 0.018 0.01 0.003
105.9 1.0 1.0 1.0 0.018 0.01 0.003
106.0 1.0 1.0 1.0 0.018 0.01 0.003
106.1 1.0 1.0 1.0 0.018 0.01 0.003
106.2 1.0 1.0 1.0 0.018 0.01 0.003
106.3 1.0 1.0 1.0 0.018 0.01 0.003
106.4 1.0 1.0 1.0 0.018 0.01 0.003
106.5 1.0 1.0 1.0 0.018 0.01 0.003
106.6 1.0 1.0 1.0 0.018 0.01 0.003
106.7 1.0 1.0 1.0 0.018 0.01 0.003
106.8 1.0 1.0 1.0 0.018 0.01 0.003
106.9 1.0 1.0 1.0 0.018 0.01 0.003
107.0 1.0 1.0 1.0 0.018 0.01 0.003
107.1 1.0 1.0 1.0 0.018 0.01 0.003
107.2 1.0 1.0 1.0 0.018 0.01 0.003
107.3 1.0 1.0 1.0 0.018 0.01 0.003
107.4 1.0 1.0 1.0 0.018 0.01 0.003
107.5 1.0 1.0 1.0 0.018 0.01 0.003
107.6 1.0 1.0 1.0 0.018 0.01 0.003
107.7 1.0 1.0 1.0 0.018 0.01 0.003
107.8 1.0 1.0 1.0 0.018 0.01 0.003
107.9 1.0 1.0 1.0 0.018 0.01 0.003
108.0 1.0 1.0 1.0 0.018 0.01 0.003
108.1 1.0 1.0 1.0 0.018 0.01 0.003
108.2 1.0 1.0 1.0 0.018 0.01 0.003
108.3 1.0 1.0 1.0 0.018 0.01 0.003
108.4 1.0 1.0 1.0 0.018 0.01 0.003
108.5 1.0 1.0 1.0 0.018 0.01 0.003
108.6 1.0 1.0 1.0 0.018 0.01 0.003
108.7 1.0 1.0 1.0 0.018 0.01 0.003
108.8 1.0 1.0 1.0 0.018 0.01 0.003
108.9 1.0 1.0 1.0 0.018 0.01 0.003
109.0 1.0 1.0 1.0 0.018 0.01 0.003
109.1 1.0 1.0 1.0 0.018 0.01 0.003
109.2 1.0 1.0 1.0 0.018 0.01 0.003
